Region,Department,Commune_Code_INSEE,City,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06027,CAGNES SUR MER,161.0,2266062.0,8512.0,ificom-2022.xlsx,2022
AUVERGNE-RHONE-ALPES,RHONE,69034,CALUIRE ET CUIRE,208.0,2224681.0,8675.0,ificom-2019.xls,2019
AUVERGNE-RHONE-ALPES,RHONE,69034,CALUIRE ET CUIRE,214.0,2267262.0,9309.0,ificom-2020.xlsx,2020
AUVERGNE-RHONE-ALPES,RHONE,69034,CALUIRE ET CUIRE,232.0,2407934.0,10606.0,ificom-2021.xlsx,2021
AUVERGNE-RHONE-ALPES,RHONE,69034,CALUIRE ET CUIRE,267.0,2433972.0,9534.0,ificom-2022.xlsx,2022
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06029,CANNES,626.0,2770439.0,12642.0,ificom-2019.xls,2019
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06029,CANNES,658.0,2901833.0,12827.0,ificom-2020.xlsx,2020
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06029,CANNES,664.0,2827815.0,12414.0,ificom-2021.xlsx,2021
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06029,CANNES,707.0,3044836.0,12816.0,ificom-2022.xlsx,2022
PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,84031,CARPENTRAS,53.0,2027157.0,7295.0,ificom-2021.xlsx,2021
PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,84031,CARPENTRAS,59.0,1954067.0,6840.0,ificom-2022.xlsx,2022
PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44026,CARQUEFOU,58.0,2291033.0,9854.0,ificom-2022.xlsx,2022
OCCITANIE,HERAULT,34057,CASTELNAU LE LEZ,97.0,2199451.0,9426.0,ificom-2020.xlsx,2020
OCCITANIE,HERAULT,34057,CASTELNAU LE LEZ,102.0,2289629.0,11361.0,ificom-2021.xlsx,2021
OCCITANIE,HERAULT,34057,CASTELNAU LE LEZ,103.0,2403847.0,11818.0,ificom-2022.xlsx,2022
PAYS DE LA LOIRE,VENDEE,85047,CHALLANS,54.0,2269019.0,10195.0,ificom-2022.xlsx,2022
AUVERGNE-RHONE-ALPES,SAVOIE,73065,CHAMBERY,110.0,1994945.0,7131.0,ificom-2019.xls,2019
AUVERGNE-RHONE-ALPES,SAVOIE,73065,CHAMBERY,110.0,2084616.0,8125.0,ificom-2020.xlsx,2020
AUVERGNE-RHONE-ALPES,SAVOIE,73065,CHAMBERY,117.0,1999840.0,6548.0,ificom-2021.xlsx,2021
