,Commune_Code_INSEE,Year,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro
495,75120,2020,510.0,2155114.0,8655.0
329,75120,2021,556.0,2222816.0,8489.0
108,75120,2022,599.0,2216894.0,8527.0
625,75102,2019,303.0,2361067.0,10649.0
477,75102,2020,310.0,2393482.0,10928.0
311,75102,2021,344.0,2357418.0,10614.0
25,75102,2022,385.0,2473198.0,11162.0
617,75103,2019,742.0,2531358.0,12101.0
478,75103,2020,778.0,2552963.0,12493.0
312,75103,2021,848.0,2601499.0,12215.0
14,75103,2022,887.0,2653122.0,13157.0
612,75104,2019,836.0,2761867.0,13712.0
479,75104,2020,872.0,2757815.0,13092.0
313,75104,2021,924.0,2813386.0,14092.0
10,75104,2022,954.0,2831332.0,14004.0
784,64445,2019,100.0,1868959.0,6301.0
556,64445,2020,112.0,1895825.0,6563.0
293,64445,2021,109.0,2012327.0,7221.0
175,64445,2022,117.0,2086255.0,7608.0
698,66136,2019,133.0,2096482.0,8602.0
567,66136,2020,128.0,2137267.0,8836.0
294,66136,2021,131.0,2199415.0,9303.0
114,66136,2022,136.0,2203538.0,9390.0
782,33318,2019,109.0,1935728.0,6363.0
548,33318,2020,118.0,2078917.9999999998,7077.0
251,33318,2021,121.0,2198055.0,8304.0
105,33318,2022,132.0,2229603.0,8621.0
769,86194,2019,94.0,1969541.0,7114.0
557,86194,2020,88.0,2020657.0,7501.0
354,86194,2021,99.0,1987967.0,7268.0
198,86194,2022,103.0,2018790.0,7477.0
699,92062,2019,121.0,2115114.0,8564.0
470,92062,2020,134.0,2121506.0,8477.0
382,92062,2021,143.0,2128067.0,8470.0
101,92062,2022,160.0,2236466.0,9574.0
56,29232,2022,53.0,2334000.0,10441.0
737,78517,2019,84.0,2043989.0,7759.0
520,78517,2020,80.0,2105455.0,8385.0
337,78517,2021,82.0,2108517.0,7890.0
161,78517,2022,91.0,2117592.0,8080.0
714,51454,2019,243.0,2145815.0,8335.0
442,51454,2020,254.0,2083609.0,7917.0
272,51454,2021,258.0,2157480.0,8544.0
