,Region,Department,Commune_Code_INSEE,City
29,ILE-DE-FRANCE,VAL-DE-MARNE,94033,FONTENAY SOUS BOIS
718,PROVENCE-ALPES-COTE D'AZUR,VAR,83061,FREJUS
596,PROVENCE-ALPES-COTE D'AZUR,VAR,83061,FREJUS
345,PROVENCE-ALPES-COTE D'AZUR,VAR,83061,FREJUS
180,PROVENCE-ALPES-COTE D'AZUR,VAR,83061,FREJUS
663,PROVENCE-ALPES-COTE D'AZUR,HAUTES-ALPES,05061,GAP
594,PROVENCE-ALPES-COTE D'AZUR,HAUTES-ALPES,05061,GAP
210,PROVENCE-ALPES-COTE D'AZUR,HAUTES-ALPES,05061,GAP
87,PROVENCE-ALPES-COTE D'AZUR,HAUTES-ALPES,05061,GAP
759,ILE-DE-FRANCE,ESSONNE,91272,GIF SUR YVETTE
447,ILE-DE-FRANCE,ESSONNE,91272,GIF SUR YVETTE
357,ILE-DE-FRANCE,ESSONNE,91272,GIF SUR YVETTE
151,ILE-DE-FRANCE,ESSONNE,91272,GIF SUR YVETTE
706,NOUVELLE-AQUITAINE,GIRONDE,33192,GRADIGNAN
546,NOUVELLE-AQUITAINE,GIRONDE,33192,GRADIGNAN
248,NOUVELLE-AQUITAINE,GIRONDE,33192,GRADIGNAN
26,NOUVELLE-AQUITAINE,GIRONDE,33192,GRADIGNAN
669,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06069,GRASSE
581,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06069,GRASSE
215,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06069,GRASSE
107,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06069,GRASSE
695,AUVERGNE-RHONE-ALPES,ISERE,38185,GRENOBLE
416,AUVERGNE-RHONE-ALPES,ISERE,38185,GRENOBLE
263,AUVERGNE-RHONE-ALPES,ISERE,38185,GRENOBLE
82,AUVERGNE-RHONE-ALPES,ISERE,38185,GRENOBLE
249,NOUVELLE-AQUITAINE,GIRONDE,33199,GUJAN-MESTRAS
201,NOUVELLE-AQUITAINE,GIRONDE,33199,GUJAN-MESTRAS
744,PROVENCE-ALPES-COTE D'AZUR,VAR,83069,HYERES
597,PROVENCE-ALPES-COTE D'AZUR,VAR,83069,HYERES
346,PROVENCE-ALPES-COTE D'AZUR,VAR,83069,HYERES
133,PROVENCE-ALPES-COTE D'AZUR,VAR,83069,HYERES
764,ILE-DE-FRANCE,HAUTS-DE-SEINE,92040,ISSY LES MOULINEAUX
462,ILE-DE-FRANCE,HAUTS-DE-SEINE,92040,ISSY LES MOULINEAUX
