,Commune_Code_INSEE,Year,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro
456,92022,2020,0.06531049250535331,0.05282877274906084,0.062044980292140006
367,92022,2021,0.07173447537473235,0.06219572981838983,0.06492000927428704
205,92022,2022,0.09850107066381159,0.06654900337447867,0.06376072339438904
772,92023,2019,0.21413276231263387,0.08773292276925548,0.07192209598887084
457,92023,2020,0.22483940042826553,0.10876796071139194,0.08583352654764664
368,92023,2021,0.26017130620985013,0.11922034404692983,0.0967308138186877
177,92023,2022,0.3019271948608137,0.12492562214591485,0.09645258520751215
780,63113,2019,0.059957173447537475,0.05218345212832576,0.04882912126130301
418,63113,2020,0.06745182012847967,0.06156097173314612,0.06376072339438904
289,63113,2021,0.06852248394004284,0.08475579669432876,0.09232552747507533
169,63113,2022,0.08137044967880086,0.13638697910981967,0.12218873174124739
725,92024,2019,0.0010706638115631703,0.12511574778475965,0.12260607465801066
369,92024,2021,0.008565310492505356,0.22188265626642545,0.1793647113378159
127,92024,2022,0.01177730192719486,0.1730364623754942,0.16753999536285646
619,68066,2019,0.036402569593147756,0.3552261162210869,0.2880593554370508
440,68066,2020,0.0417558886509636,0.336990653162046,0.27335961047994434
296,68066,2021,0.042826552462526764,0.28567986765646014,0.26853698121956876
48,68066,2022,0.04603854389721628,0.2732975581932834,0.2705309529329933
757,92025,2019,0.14025695931477516,0.09669045584382341,0.08708555529793643
458,92025,2020,0.15096359743040685,0.10768957613551022,0.0837931833990262
370,92025,2021,0.19057815845824413,0.10691951700040081,0.08629724089960583
155,92025,2022,0.20449678800856533,0.14792780657885019,0.1198701599814514
624,60159,2019,0.05353319057815847,0.4224340206190752,0.2606074658010665
536,60159,2020,0.05246252676659529,0.48208719725132665,0.44349640621377234
287,60159,2021,0.05674518201284797,0.49092552456820615,0.3041502434500348
13,60159,2022,0.06745182012847967,0.4503588495688725,0.3510781358683051
754,92026,2019,0.31905781584582443,0.09773011112290308,0.08801298400185487
459,92026,2020,0.3490364025695932,0.10601365383754524,0.09436587062369578
371,92026,2021,0.3929336188436831,0.1226763050641323,0.10377927196846742
179,92026,2022,0.43040685224839403,0.12116737142250689,0.09895664270809179
753,94028,2019,0.027837259100642393,0.08593125600115481,0.08898678414096917
504,94028,2020,0.02890792291220557,0.07746010253707081,0.07693021099003011
396,94028,2021,0.023554603854389726,0.11018484940087803,0.10697890099698582
181,94028,2022,0.032119914346895075,0.1175363741028762,0.1064688152098307
765,59163,2019,0.036402569593147756,0.16892411522418482,0.07827498261071181
528,59163,2020,0.0417558886509636,0.16840101822842135,0.0946904706700672
279,59163,2021,0.047109207708779445,0.25784255685787716,0.15135636447948064
69,59163,2022,0.06423982869379016,0.23292855350100272,0.10484581497797357
689,21231,2019,0.13169164882226983,0.1714540939633099,0.1541850220264317
428,21231,2020,0.13383297644539616,0.17958674331378932,0.15084627869232553
234,21231,2021,0.1466809421841542,0.184100466813771,0.17435659633665662
138,21231,2022,0.15952890792291222,0.16404271489352718,0.14551356364479479
652,83050,2019,0.021413276231263385,0.17519222557149605,0.19299791328541616
595,83050,2020,0.020342612419700222,0.1678346651349315,0.1987943426849061
344,83050,2021,0.020342612419700222,0.11098760209822267,0.12390447484349637
182,83050,2022,0.01820128479657388,0.11463922151095562,0.1450498492928356
742,59183,2019,0.0021413276231263406,0.09766120315326898,0.1025736146533735
529,59183,2020,0.008565310492505356,0.11600581241238739,0.11968467424066775
280,59183,2021,0.014989293361884364,0.10104875917871758,0.10823092974727566
132,59183,2022,0.008565310492505356,0.16685788209091934,0.16030605147229304
247,33162,2021,0.0010706638115631703,0.1225897928686791,0.12673313239044748
197,33162,2022,0.006423982869379015,0.09410263464843605,0.10530952932993276
760,92032,2019,0.02462526766595289,0.07858576703372322,0.08481335497333642
460,92032,2020,0.027837259100642393,0.09390647327502488,0.09190818455831207
372,92032,2021,0.04068522483940044,0.10091999684129893,0.09413401344771621
196,92032,2022,0.04603854389721628,0.09674980723372728,0.08189195455599352
657,94033,2019,0.23554603854389725,0.2508662536547631,0.18604219800602828
505,94033,2020,0.23447537473233407,0.2625081796777823,0.1971713424530489
397,94033,2021,0.2398286937901499,0.2601522312853247,0.17514491073498722
29,94033,2022,0.25481798715203424,0.3174771233085484,0.20881057268722464
718,83061,2019,0.09743040685224841,0.12089173954397003,0.1294226756318108
596,83061,2020,0.09957173447537473,0.18449429849423515,0.12761418965916993
345,83061,2021,0.09314775160599573,0.08070984262325098,0.0955715279387897
180,83061,2022,0.1049250535331906,0.11857401747043383,0.12682587526083933
663,05061,2019,0.006423982869379015,0.20268097269886376,0.18210062601437516
594,05061,2020,0.006423982869379015,0.19720253762400286,0.14036633433804774
210,05061,2021,0.014989293361884364,0.2189563309574335,0.12497101785300252
87,05061,2022,0.021413276231263385,0.21706614008235758,0.1364247623463946
759,91272,2019,0.05032119914346895,0.09702996591318913,0.08592626941803849
447,91272,2020,0.05246252676659529,0.11664912112160042,0.09566427080918155
357,91272,2021,0.057815845824411134,0.12232874734867794,0.09960584280083468
151,91272,2022,0.07173447537473235,0.15048192825624118,0.11393461627637375
706,33192,2019,0.019271948608137045,0.15311149661571333,0.13920704845814974
546,33192,2020,0.021413276231263385,0.2153112502571476,0.1692557384651055
248,33192,2021,0.025695931477516067,0.2707147667767015,0.2038952005564572
26,33192,2022,0.03104925053533191,0.32160958957507935,0.22661720380245765
669,06069,2019,0.07815845824411136,0.16462214541191134,0.17162068166009736
581,06069,2020,0.08029978586723771,0.4895770408704737,0.6122884303269187
215,06069,2021,0.07922912205567453,0.556250279781446,0.21984697426385347
107,06069,2022,0.07708779443254818,0.1971788976636174,0.18432645490377925
695,38185,2019,0.1359743040685225,0.16809872852221586,0.1479712497101785
416,38185,2020,0.12955032119914348,0.16309611052234751,0.15557616508230926
263,38185,2021,0.13169164882226983,0.19697066482107328,0.1357291908184558
82,38185,2022,0.13276231263383298,0.22248723567883666,0.1656851379550197
249,33199,2021,0.0021413276231263406,0.09925715196822804,0.12024113146301879
201,33199,2022,0.01820128479657388,0.07705872618839849,0.0936239276605611
744,83069,2019,0.17880085653104927,0.12448803138984366,0.10025504289357756
597,83069,2020,0.19700214132762314,0.09945884609832512,0.09158358451194065
346,83069,2021,0.1991434689507495,0.14328632669721098,0.11319267331323901
133,83069,2022,0.21520342612419704,0.16644191938371133,0.12956178993739853
764,92040,2019,0.31798715203426126,0.09812042195820359,0.08012984001854856
462,92040,2020,0.35224839400428265,0.10177153839305608,0.08894041270577324
374,92040,2021,0.4261241970021413,0.11359101560790663,0.0955715279387897
185,92040,2022,0.4850107066381157,0.11193470944728279,0.09288198469742637
728,94038,2019,0.005353319057815845,0.10053773365208729,0.11787618826802687
506,94038,2020,0.006423982869379015,0.0767574424379539,0.09728727104103868
398,94038,2021,0.010706638115631696,0.06709423139698589,0.08550892650127517
